title,abstract_plain,keywords,topics,authors,organisations,poster_location,file_name,landscape/ portrait,online/ in-person,presenter_time
Digital Preservation on a National Level: A Canada-wide Portrait with the DPC RAM,"This paper presents the national digital preservation benchmarking project led by the Canadian Association of Research Libraries’ Digital Preservation Working Group (CARL DPWG), using the Digital Preservation Coalition’s Rapid Assessment Model (DPC RAM). The paper provides background information on the project’s context and design, and summarizes findings from the pilot phase. High-level summaries for each RAM criteria provide insight into the challenges and strengths of the digital preservation programs of CARL member institutions, as well as general targets for improvement. The paper concludes with a discussion of next steps for the project.","Community, Assessment, Framework","Management, Organizations, Staffing, Repository Assessments, Costs
Community, Collaborations","Good, Kenton (1);
Lake, Sarah (2);
MacGregor, James (3);
Rancourt, Y.G. (4);
Shi, Julie (5);
Tomé, Amanda (6)","1: University of Alberta, Canada;
2: Concordia University, Canada;
3: Canadian Research Knowledge Network;
4: Council of Prairie and Pacific University Libraries, Canada;
5: Scholars Portal, Canada;
6: Digital Research Alliance of Canada",12,Lake_A-Canada-wide-portrait-with-DPC-RAM.pdf,portrait,,"Minute Madness Session: Tuesday, 22 September 2026: 11:00am - 11:45am and presenters are likely to be available later during the lunch or afternoon to talk about their poster"
28 Million Documents and Counting: Digital Preservation and Corporate Accountability at the UCSF Industry Documents Library,"How do you preserve and provide access to millions of previously internal corporate documents released through public interest lawsuits? The Industry Documents Library (IDL) at the University of California San Francisco (UCSF) is a digital archive containing over 26 million digitized and born-digital documents obtained from industries which impact public health, specifically the tobacco, opioid, drug, chemical, food, and fossil fuel industries.
This presentation provides an overview of the context, workflows, and tools used when managing document disclosure for large volumes of digitized and born-digital records which may contain private information; utilizing cloud storage for preservation; and facilitating open online access for a diverse user community which has cited industry documents in over 1,200 publications and informed lifesaving public health research.","Access, Data Management, Other Storage, Risk Assessment, Open Source Software","Management, Organizations, Staffing, Repository Assessments, Costs
Technical Infrastructure, Tools, Storage, Bit Preservation
Legal / Ethical / Environmental Considerations, Policy, Strategy","Tasker, Kate;
James, Emma","University of California San Francisco, United States of America",26,192_KateTasker-EmmaJames_28-Million-Documents.pdf,landscape,,"Minute Madness Session: Tuesday, 22 September 2026: 11:00am - 11:45am and presenters are likely to be available later during the lunch or afternoon to talk about their poster"
How Well Did We Do? Measuring Digital Preservation Performance,"How can digital preservation programmes measure how well digital collections are being preserved, rather than simply how much content has been ingested into a repository or attempting to demonstrate repository “trustworthiness”? These approaches provide limited insight into whether digital material is being maintained in accordance with preservation policy requirements.
This poster presents a proposed performance metric developed at the National Library of New Zealand and Archives New Zealand to support a new organisational measure assessing the percentage of collections maintained according to preservation policies. The metric combines two factors: the proportion of digital holdings stored in compliant preservation environments, and the operational assurance that those environments are being actively managed and maintained as intended. Together, these provide a clearer and more communicable indicator of digital preservation performance that can be adapted to different types of digital collections.","Repository Assessment, Audit, Management","Management, Organizations, Staffing, Repository Assessments, Costs
Technical Infrastructure, Tools, Storage, Bit Preservation","Goethals, Andrea;
Gengenbach, Martin;
Wu, Cynthia","National Library of New Zealand and Archives New Zealand, New Zealand",14,AndreaGoethals_HowWellDidWeDo.pdf,portrait,,"Minute Madness Session: Wednesday, 23 September 2026: 11:00am - 11:45am and presenters are likely to be available during the lunch or afternoon to talk about their poster"
KEEPING OPEN BOOKS USABLE— CHALLENGES AND OPPORTUNITIES,"Doctoral theses represent a critical but often undervalued component of scholarly communication. Despite their intellectual and cultural significance, e?theses remain at risk, as highlighted by their inclusion in the 2023 DPC BitList [1][5] and recent disruptions such as the DDoS attack on the British Library’s EThOS service [2].
This poster presents completed findings from a UK?wide investigation into the preservation of electronic theses (e?theses) and related digital scholarly materials within the Open Book Futures project [3]. The study reveals structural, policy, and workflow challenges that undermine the long-term usability of open scholarly outputs, including theses, supplementary materials, and associated research data. Conducted across research?intensive universities and with input from national libraries, the work highlights systemic gaps in preservation capabilities, inconsistent policy alignment, unclear stewardship responsibilities, and limited training provision across staff and doctoral researchers.
The poster reframes these findings as both challenges and opportunities for improving the sustainability and usability of open scholarly works. It also outlines future work, including targeted training programmes co?developed with the Digital Preservation Coalition, sector?wide policy recommendations, and research directions addressing emerging risks such as cyberthreats, format obsolescence, and sustainability concerns. The poster contributes to iPRES 2026 themes by offering practical pathways toward trusted, scalable, climate?conscious preservation of open academic outputs.","Access, open books, e?theses, sustainability, workflows","Management, Organizations, Staffing, Repository Assessments, Costs
Technical Infrastructure, Tools, Storage, Bit Preservation
Discovery, Access, Delivery, Emulation","Stokes, Paul (1);
Cole, Gareth (2)","1: Jisc;
2: University of Exeter",online,placeholder,,,"Minute Madness Session: Wednesday, 23 September 2026: 11:00am - 11:45am and presenters are likely to be available during the lunch or afternoon to talk about their poster"
"DDI for beginners: free, bilingual training resources to help you start making your data FAIR with the DDI standard","The FAIR principles (Findable, Accessible, Interoperable, Reusable) rely heavily on high?quality metadata and on the use of metadata standards such as the Data Documentation Initiative (DDI). DDI plays a key role in enabling data reuse and reproducibility by providing a rich, structured metadata framework that captures essential information about the data, including elements needed to assess data quality and provenance.
Although DDI is well established within communities experienced in (meta)data management, it remains less accessible to newcomers. To broaden the adoption of FAIR practices, it is crucial to support researchers and data professionals who are unfamiliar with metadata standards and who may find existing DDI materials too abstract or technically demanding.
In France, the two national Open Science Plans and the evolving landscape of data?sharing practices have brought DDI to the attention of many “new” data professionals. Despite the availability of numerous DDI resources (slide decks, recorded webinars, documentation), there is a clear need for true beginner?level training materials. Existing resources are often perceived as too conceptual, complex, or difficult to navigate by first?time DDI users who lack prior experience with metadata management.
The French FAIRwDDI project (Work Package 2) was created to address this gap. Specialists from the Center for Socio-Political Data of Sciences Po/CNRS (France) and CLOSER, UCL (UK) collaborated during two week?long sprints to develop introductory DDI training materials designed specifically for beginners and showcased at EDDI. Their guiding question was: What is the minimum set of DDI metadata needed to make data reusable? They also aimed to ensure that learners acquire a solid understanding of core metadata and DDI concepts. A designer contributed to the project to make the materials visually clear, intuitive, and user?friendly.
This poster presents two beginner?level DDI training resources, produced in both French and English, which will be made freely available to the community.","Data Documentation Initiative, Metadata, Standards, Data Management","Community, Collaborations
Metadata, Description","Danciu, Alina (1);
Jon Johnson, Jon (2);
Oldroyd, Becky (2);
Marie, Lucie (1)","1: Sciences Po, Center for Socio-Political Data (CDSP), CNRS, France;
2: UCL, CLOSER UK",15,DANCIU_DDI Metadata for Beginners.pdf,portrait,,"Minute Madness Session: Wednesday, 23 September 2026: 11:00am - 11:45am and presenters are likely to be available during the lunch or afternoon to talk about their poster"
ARE WE ON THE RIGHT TRACK?,"The EOSC Long?Term Data Retention (LTDR) Task Force has conducted a comprehensive analysis of current needs, gaps, and strategic challenges affecting long?term research data retention across disciplines and stakeholder communities. Findings from the 2024–2026 Task Force activities highlight nine major challenge domains, ranging from funding, skills and expertise, disciplinary fragmentation, and policy gaps to legal, ethical, trust, and technological barriers. This poster presents an accessible synthesis of these challenges, together with preliminary recommendations, with the explicit aim of inviting critique, refinement, and contribution from the iPRES community. It will serve as a catalyst for producing a community?endorsed, finalised version of the report by late 2026, supported by open feedback channels and structured consultation workflows.","Community, Long?term data retention, Digital preservation governance, Trustworthy data stewardship (EOSC), Cross?disciplinary retention challenges.","Community, Collaborations
Legal / Ethical / Environmental Considerations, Policy, Strategy","Stokes, Paul (1);
Flores, Jacques (2)","1: Jisc;
2: Utrecht University",online,placeholder,,,"Minute Madness Session: Wednesday, 23 September 2026: 11:00am - 11:45am and presenters are likely to be available during the lunch or afternoon to talk about their poster"
AIDA: A Network-Based Approach to Technical Partner Communication,"There's no way of getting around it: archiving born-digital content requires archivists to cooperate effectively with technical partners, yet this collaboration is frequently hindered by a communication gap.
Technical partners may lack insight into theoretical archival requirements for long-term preservation (such as OAIS and its interpretation), while archivists may struggle to translate archival principles into technical specifications.
This poster presents AIDA, a Flemish network initiative, that addresses this gap through a cooperative, community-driven model. By bringing together archival institutions, technical expertise, and a central coordinator, AIDA facilitates mutual learning and shared responsibility in the development of sustainable workflows for born-digital archiving.
The poster highlights how this approach improves communication, supports informed decision-making, and contributes to a durable digital preservation infrastructure.","Born Digital Content, Open Source Software, network, Collaboration, sustainability","Management, Organizations, Staffing, Repository Assessments, Costs
Technical Infrastructure, Tools, Storage, Bit Preservation
Community, Collaborations","Maene, Merijn (1);
Savels, Maarten (2)","1: AIDA-netwerk vzw, Belgium;
2: Amsab--Institute for Social History, Belgium",16,MerijnMaene_AIDAModel.pdf,portrait,,"Minute Madness Session: Wednesday, 23 September 2026: 11:00am - 11:45am and presenters are likely to be available during the lunch or afternoon to talk about their poster"
PReservation As A Service: The CERN Preserve Hub,"The European Organization for Nuclear Research (CERN) has set up a Preservation Service to ensure any data under its Intellectual Property can be treated for long term preservation according to world-wide standards.
The CERN Preserve Hub is designed to communicate with the live information repositories run within the institute. Service level agreements establish how the Data and Metadata from these source systems are harvested in order to convert them into Archival Information Packages.
The poster will describe the two main areas that have empowered the raise of this new service. It will highlight the technical developments and how the backend engine can be scaled to support the massive data produced by CERN. It will also expose the underlying policies that are guiding a centralized preservation strategy, covering all possible data types.","Strategy, Preservation Planning, Workflow, OAIS, EOSC EDEN","Management, Organizations, Staffing, Repository Assessments, Costs
Technical Infrastructure, Tools, Storage, Bit Preservation","Le Meur, Jean-Yves;
Liptak, Panna","CERN, Switzerland",17,234-Liptak_LeMeur-CERN-Preservation-As-A-Service.pdf,portrait,,"Minute Madness Session: Tuesday, 22 September 2026: 11:00am - 11:45am and presenters are likely to be available later during the lunch or afternoon to talk about their poster"
Taking a risk?,This poster describes how the implementation of a digital preservation risk assessment programme using the CHARM Reference Model for Conceptualising and Characterising Digital Preservation Risk supported digital collections management at the British Library following a major cyber incident.,"Risk Identification, Risk Assessment, Community, Collaboration, Engagement","Community, Collaborations","Lucas, Rebecca;
Whibley, Simon;
Day, Michael","The British Library, United Kingdom",23,240_LucasWhibleyDay_TakingARisk.pdf,portrait,,"Minute Madness Session: Wednesday, 23 September 2026: 11:00am - 11:45am and presenters are likely to be available during the lunch or afternoon to talk about their poster"
"The Good, the Grey and the Redundant - Data Redundancy and Grey Literature at the EDC","The Energy Data Centre (EDC) is a capability of the UK Energy Research Centre (UKERC) which is an independent research centre that carries out research into sustainable future energy systems in the UK. The EDC curates UK energy research data for long term preservation and provides a discovery portal to make this data Findable and Accessible.
The EDC has been running as a service for 25 years without a major outage, achieved in part through our practice of Data Redundancy across our multiple servers. This approach has enabled the EDC to minimise disruption to users of the service during periods of server instability, as well as bolstering the preservation practices by maintaining multiple copies of the digital objects in case of a loss of file integrity.
Storing copies of digital objects in multiple locations does however come with the added consideration of ensuring that all of these copies are identical. In 2025, the EDC expanded on its preservation practices to best account for these considerations. An in-house integrity checking tool was created that assesses our files across all storage locations to ensure their quality through checksums. Additionally, we introduced both file manifests and metadata files for the datasets we hold for both data validation and machine readability to improve the Findability of our content.
Data redundancy is especially important for the long-term preservation of grey literature, these being publications that were not formally published. This is because if the only instance of a document that is no longer available anywhere else is corrupted, this data could become permanently lost. The EDC has a strong focus on preserving grey literature, such as with the Energy Technologies Institute (ETI) which ran from 2007-2019 and produced many reports that would have been inaccessible once the website shut down in 2025 if they hadn’t also been stored on the EDC. Preserving multiple copies of these publications in different locations ensures these copies can be used to restore the data back to its original version if a specific instance of the file is damaged, ensuring it is still Findable and Accessible to users and securing its preservation.
This poster will detail how these preservation practices are carried out at the EDC, the importance of each within the context of Grey Literature and ETI, how these practices support FAIR data, and the EDCs plans moving forward to streamline this process, while still following preservation best practices.","Preservation Action, Research Data Content, Data Management, Validation, Collection Assessment","File Formats, Content Integrity, Migrations, Content Preservation
Technical Infrastructure, Tools, Storage, Bit Preservation
Metadata, Description","Brough, Oliver;
Holt, Peter;
Mistry, Vivek","UKRI, United Kingdom",26,246_Oliver-Brough_The-Good-The-Grey-The-Redundant.pdf,portrait,,"Minute Madness Session: Tuesday, 22 September 2026: 11:00am - 11:45am and presenters are likely to be available later during the lunch or afternoon to talk about their poster"
"Transparent, Referenceable, Integrated, Preservation Planning TRIPP","This poster proposes that any organisational entity that looks after data and/or metadata should take an approach that integrates retention, curation and preservation planning, and should share a transparent and referenceable (i.e. structured, persistently identified, resolvable) set of supporting information. It presents a diagrammatic overview of the Internal and External Inputs, Preservation Planning and the Digital Object Management Lifecycle, including Assessment and Intervention.
The overall vision of transparent, referenceable, integrated preservation planning is provision of a TRIPP template that all repositories can use to share and to clarify their practice.","Preservation Planning, Preservation Action, Data Management, Digital Preservation Functions","Management, Organizations, Staffing, Repository Assessments, Costs
File Formats, Content Integrity, Migrations, Content Preservation
Appraisal / Selection, Acquisition, Ingest
Discovery, Access, Delivery, Emulation","L'Hours, Hervé (1);
Parkes, Oliver (1);
Benauer, Maria (2);
Lindlar, Micky (2);
Caron, Bertrand (2);
Kleemola, Mari (3)","1: UK Data Service,  UK Data Archive,  University of Essex;
2: TIB - Leibniz Information Centre for Science  and Technology;
3: Finnish Social Science  Data Archive (FSD), Tampere University",27,HLH-TRIPP_v02_00.drawio.pdf,portrait,,"Minute Madness Session: Wednesday, 23 September 2026: 11:00am - 11:45am and presenters are likely to be available during the lunch or afternoon to talk about their poster"
We Can’t Keep Everything Forever: A Landscape Analysis of Data Retention in U.S. Data Repositories,"This poster presents an in-progress study being conducted to investigate how research data repositories are responding to the exponential growth of data while balancing preservation best practices; in particular, retention and deaccessioning. This poster will discuss our methods for identifying repositories for review, evaluation criteria, and preliminary results of the ongoing study. This research study expands on a smaller, preliminary study presented at iPRES 2022.","Research Data Content, data retention, appraisal","Management, Organizations, Staffing, Repository Assessments, Costs
Appraisal / Selection, Acquisition, Ingest","Narlock, Mikala (1);
Luong, Hoa (2);
Taylor, Danielle (1)","1: Indiana University Libraries, United States of America;
2: University of Illinois Urbana-Champaign, United States of America",28,Narlock_WeCantKeepEverythingForever.pdf,portrait,,"Minute Madness Session: Wednesday, 23 September 2026: 11:00am - 11:45am and presenters are likely to be available during the lunch or afternoon to talk about their poster"
Current Trends in Fixity Practices: Results from the 2025 NDSA Fixity Survey,"In 2025, the NDSA Fixity Survey Working Group conducted its third iteration of the Fixity Survey in order to better understand how fixity and integrity practices have grown and changed. Based on the structure and results of the 2017 and 2021 fixity survey reports, the 2025 Fixity Survey provides insight into how organizations worldwide use various fixity methods to ensure the stability of their digital content and to learn how real-world capacity and best practices differ. This poster shares the results from the 2025 Fixity Survey and illuminates the value of community-wide data gathering and knowledge sharing.","Fixity, Validation, Preservation Tools","Technical Infrastructure, Tools, Storage, Bit Preservation","Taylor, Danielle (1);
Kussmann, Carol (2);
Pahl, Aaron (3);
Kidd, Margaret (4);
Oldham, Krista (5)","1: Indiana University Libraries, United States of America;
2: University of Minnesota, United States of America;
3: University of Alabama at Birmingham, United States of America;
4: Virginia Commonwealth University, United States of America;
5: Texas A&M University, United States of America",28,Taylor_NDSAFixitySurveyResults.pdf,landscape,,"Minute Madness Session: Wednesday, 23 September 2026: 11:00am - 11:45am and presenters are likely to be available during the lunch or afternoon to talk about their poster"
LOWER SAXONY STATE INITIATIVE FOR DIGITAL PRESERVATION,The Lower Saxony State Initiative for Digital Preserva-tion (Landesinitiative Langzeitarchivierung – LiLA) is a five-year project (2025-2030) which supports the state and academic libraries and museums in establishing and im-plementing Digital Preservation (DP). LiLA builds on the Digital Preservation-as-a-Service workflows offered by the German National Library of Science and Technology (TIB) and will test the scalability of these workflows. In addition to providing an entry point in DP for the men-tioned institutions the project will foster community and estimate resource needs for DP for participating institu-tions. The poster will highlight the insights gained during the first year.,"Collaboration, Community, Workflows","Community, Collaborations","Walz, Annabel;
Rücknagel, Jesko","TIB – Leibniz Information Centre for Science and Technology and University Library Germany, Germany",31,263_Annabel-Walz_Lower-Saxony-State-Initiative.pdf,portrait,,"Minute Madness Session: Wednesday, 23 September 2026: 11:00am - 11:45am and presenters are likely to be available during the lunch or afternoon to talk about their poster"
Sustainable and systematic: building a search index of research and practice in web archiving and digital preservation,"Our project introduces the Awesome Indexer, which brings together digital preservation and web archiving resources into a single search interface and database. Our key argument is that centralised discovery is crucial for the long-term sustainability of these resources, encouraging reuse and investment in those resources rather than attempting to replace them.","Access, Database Content, Workflows","Technical Infrastructure, Tools, Storage, Bit Preservation
Community, Collaborations","Holownia, Olga (1);
Jackson, Andrew N. (2);
Healy, Sharon (1)","1: IIPC, United States of America;
2: Digital Preservation Coalition, United Kingdom",22,281_AndyJackson_BuildingAnIndexOfPractice.pdf,landscape,,"Minute Madness Session: Tuesday, 22 September 2026: 11:00am - 11:45am and presenters are likely to be available later during the lunch or afternoon to talk about their poster"
AI-ENABLED ACCESS TO LARGE AND SENSITIVE COLLECTIONS,"We present an approach to processing high-volume deposits of content leveraging technologies using open-source large language models and image description tools to generate descriptive metadata, summarization of text, and identification of potentially sensitive images. This approach, combined with on-demand human review for redaction of specific documents should enable researchers to more quickly locate information relevant to their research interests and protect sensitive information through abstraction, allowing archivists to provide more rapid and useful access to previously unavailable accessions.","Metadata Extraction, Email Content, Image Content, Risk Management, Workflows","Technical Infrastructure, Tools, Storage, Bit Preservation
Metadata, Description
Discovery, Access, Delivery, Emulation","West, Brent;
Kaczmarek, Joanne",University of Illinois,32,282_Brent-West_AI-Enabled-Access-To-Large-And-Sensitive-Collections.pdf,portrait,,"Minute Madness Session: Wednesday, 23 September 2026: 11:00am - 11:45am and presenters are likely to be available during the lunch or afternoon to talk about their poster"
50 Billion Objects of the Danish Web: Visualizing Two Decades of Netarkivet,"Since 2005, the Danish national web archive Netarkivet, maintained by the Royal Danish Library, has systematically collected and preserved the Danish web under the Danish legal deposit framework. Through domain, selective, and event-based harvesting, the archive captures both the breadth and depth of Denmark’s online presence, documenting the evolution of the country’s digital public sphere.
Over two decades of web archiving have produced a collection of more than 50 billion archived objects from over 3.3 million unique domains, representing approximately 1.6 petabytes of preserved data. The collection includes HTML pages, images, text files, PDFs, audio, video, and other web resources. This poster presents a large-scale visualization of Netarkivet, providing a novel perspective on the structure, composition, and growth of a national web archive.
The visualization highlights the scale and heterogeneity of the collection, which currently contains approximately 31.6 billion HTML files, 9 billion images, 7.4 billion other file types, 3 billion text files, 136 million PDFs, 23 million video files, and 14 million audio files. It also illustrates the historical development of the archive from 1995–2026, including growth in harvested content and the impact of large-scale deduplication. To contextualize the collection, the poster incorporates a historical link graph of Danish web domains from 1998–2003, revealing patterns in the early development of the Danish web and its relationship to subsequent preservation efforts.
Beyond visualizing content, the poster outlines key preservation and access milestones, including the adoption of browser-based crawling technologies, long-term preservation through replicated storage using open-source BitRepository software, and the evolution of access services from URL-based retrieval to full-text search and discovery through SolrWayback and pywb. The poster further demonstrates how archived web data supports research, highlighting projects ranging from studies of the historical Danish web domain to recent investigations of childhood and digital culture in the early web era.
Finally, the poster reflects on challenges facing contemporary web archiving, including technological obsolescence, resource constraints, crawler blocking, and the increasing fragmentation of the web. By presenting Netarkivet through a visual lens, this work demonstrates how visualization can bridge preservation infrastructure and scholarly engagement, making large-scale web archives more accessible, interpretable, and meaningful as both technical systems and cultural heritage collections.","Web Archive Content, Data Visualisation. Link Graphs","Technical Infrastructure, Tools, Storage, Bit Preservation
Metadata, Description
Discovery, Access, Delivery, Emulation","Klindt Myrvoll, Anders","Royal Danish Library, Denmark",33,placeholder,portrait,,"Minute Madness Session: Wednesday, 23 September 2026: 11:00am - 11:45am and presenters are likely to be available during the lunch or afternoon to talk about their poster"
Repository-Native Documentation for Research Data Preservation with Well-known Repository Files,"This poster proposes a repository-native approach to research data preservation in which well-known repository files such as README.md, CONTRIBUTORS.md, NOTICE.md, and ETHICS.md serve as primary documentation for preservation-relevant metadata.
It also introduces issue-level Markdown records to document actions, rationale, uncertainty, and residual problems. Together, these records support continuous provenance capture during research and can be transformed into outputs such as RO-Crate, METS, JPCOAR2 metadata, and TEI header.","Research Data Content, Management, Metadata, AI-assisted software development, Provenance","Management, Organizations, Staffing, Repository Assessments, Costs
File Formats, Content Integrity, Migrations, Content Preservation
Metadata, Description
Legal / Ethical / Environmental Considerations, Policy, Strategy","Kameda, Akihiro (1);
Kitaoka, Tamako (1);
Goto, Makoto (1,2)","1: National Institutes for the Humanities, Japan;
2: National Museum of Japanese History, Japan",34,placeholder,,,"Minute Madness Session: Wednesday, 23 September 2026: 11:00am - 11:45am and presenters are likely to be available during the lunch or afternoon to talk about their poster"
